Time,Do you take an attention and concentration pill?,Do you work at the same time as you study?,Do you feel that your grades have changed for the better as a result of distance learning?,Did you experience internet communication problems during distance learning that affected viewing?,Did you watch the recordings during the semester?,Do you think the recordings are effective?,Do you study in groups?,Do you have a quiet study area at home?,Do you have any hobbies that you tend to maintain in your spare time?,Do you usually log into social networks during the remote class?
8/24/2022 14:06:11,no,yes,yes,3,yes,yes,yes,no,yes,1
8/24/2022 14:06:23,no,no,yes,3,yes,yes,yes,yes,yes,2
8/24/2022 14:06:45,yes,yes,no,1,yes,yes,no,yes,nothing,2
8/24/2022 14:07:17,no,no,no,5,no,no,no,yes,nothing,1
8/24/2022 14:09:44,no,no,yes,2,yes,yes,no,yes,yes,2
8/24/2022 14:16:48,no,yes,no,2,no,yes,no,yes,yes,2
8/24/2022 14:17:29,yes,yes,yes,4,no,yes,no,yes,yes,0
8/24/2022 14:17:34,no,yes,yes,1,yes,yes,no,yes,nothing,2
8/24/2022 14:19:17,no,yes,yes,2,yes,yes,yes,no,yes,2
8/24/2022 14:19:50,yes,no,no,1,yes,yes,yes,yes,yes,2
8/24/2022 14:20:45,no,no,yes,1,yes,yes,no,yes,yes,0
8/24/2022 14:22:51,no,yes,no,2,yes,yes,yes,yes,yes,1
8/24/2022 14:24:13,no,yes,no,3,yes,yes,yes,yes,yes,1
8/24/2022 14:24:16,yes,yes,yes,1,yes,yes,yes,yes,yes,1
8/24/2022 14:24:39,no,yes,yes,5,no,yes,yes,yes,yes,2
8/24/2022 14:25:11,no,no,yes,2,yes,yes,no,yes,yes,1
8/24/2022 14:25:15,no,yes,no,1,yes,yes,no,yes,yes,2
8/24/2022 14:28:51,no,no,no,3,yes,yes,no,yes,yes,1
8/24/2022 14:29:23,no,no,no,3,yes,yes,yes,yes,yes,2
8/24/2022 14:31:06,no,no,no,3,yes,yes,no,yes,no,1
8/24/2022 14:31:42,no,yes,yes,4,yes,no,no,yes,yes,2
8/24/2022 14:32:00,no,yes,no,4,yes,yes,yes,yes,yes,1
8/24/2022 14:34:21,no,no,no,3,yes,yes,yes,no,yes,2
8/24/2022 14:42:26,no,yes,yes,3,yes,yes,yes,yes,no,1
8/24/2022 14:42:26,yes,yes,yes,3,yes,yes,yes,yes,yes,2
8/24/2022 14:43:56,no,yes,yes,3,yes,yes,no,yes,yes,1
8/24/2022 14:46:02,no,no,yes,1,yes,yes,no,yes,yes,1
8/24/2022 14:47:26,yes,yes,no,1,no,yes,no,yes,yes,2
8/24/2022 14:50:09,no,no,no,2,no,yes,yes,yes,yes,1
8/24/2022 14:51:18,yes,no,yes,2,yes,yes,yes,yes,no,1
8/24/2022 14:53:09,yes,yes,yes,5,yes,yes,yes,yes,yes,2
8/24/2022 14:53:50,no,yes,no,3,yes,yes,yes,yes,yes,1
8/24/2022 14:54:51,no,no,no,5,no,no,yes,no,nothing,2
8/24/2022 14:55:32,yes,no,yes,1,yes,yes,no,no,nothing,0
8/24/2022 14:56:19,yes,yes,yes,2,yes,yes,no,yes,yes,1
8/24/2022 15:07:18,yes,no,yes,1,no,yes,yes,yes,no,1
8/24/2022 15:27:56,no,yes,yes,2,yes,yes,yes,yes,yes,0
8/24/2022 15:40:37,no,yes,no,3,yes,yes,yes,yes,yes,2
8/24/2022 15:47:52,no,no,no,5,yes,yes,yes,no,yes,2
8/24/2022 15:49:55,yes,yes,yes,1,yes,yes,yes,yes,yes,2
8/24/2022 15:55:22,yes,no,yes,1,yes,yes,yes,yes,yes,0
8/24/2022 15:56:24,no,yes,yes,1,yes,yes,yes,yes,yes,1
8/24/2022 15:57:01,no,no,yes,4,yes,yes,no,yes,yes,1
8/24/2022 16:01:54,yes,yes,yes,1,yes,yes,no,yes,no,1
8/24/2022 17:07:07,yes,no,no,5,yes,yes,yes,no,yes,2
8/24/2022 17:11:28,no,yes,no,5,yes,no,no,yes,nothing,2
8/24/2022 17:13:00,no,no,no,3,yes,yes,yes,yes,no,2
8/24/2022 17:22:03,no,no,yes,2,no,yes,no,no,yes,1
8/24/2022 17:22:32,no,yes,yes,2,yes,yes,yes,no,yes,2
8/24/2022 17:23:00,no,yes,yes,1,no,no,yes,yes,nothing,1
8/24/2022 17:31:27,no,no,no,4,yes,yes,yes,no,yes,1
8/24/2022 17:33:04,no,no,no,2,yes,yes,no,yes,yes,1
8/24/2022 17:46:24,yes,yes,yes,3,yes,yes,yes,yes,yes,1
8/24/2022 17:46:50,yes,yes,yes,2,yes,yes,yes,yes,yes,0
8/24/2022 17:57:41,yes,yes,no,1,yes,yes,yes,yes,yes,1
8/24/2022 18:49:26,no,no,no,1,yes,yes,yes,yes,yes,2
8/24/2022 21:27:21,yes,no,yes,4,yes,yes,yes,yes,no,2
8/25/2022 14:28:59,no,no,yes,2,yes,yes,yes,no,yes,2
8/28/2022 12:35:43,no,no,yes,2,yes,yes,no,yes,yes,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
