Do you take an attention and concentration pill?,Do you work at the same time as you study?,Do you feel that your grades have changed for the better as a result of distance learning?,Did you experience internet communication problems during distance learning that affected viewing?,Did you watch the recordings during the semester?,Do you think the recordings are effective?,Do you study in groups?,Do you have a quiet study area at home?,Do you have any hobbies that you tend to maintain in your spare time?,Do you usually log into social networks during the remote class?,"Do you feel that when you studied online your level of concentration was higher than in the classroom?
(relevant to concentration pill takers)"
no,yes,yes,3,yes,yes,yes,no,yes,1,-
no,no,no,3,yes,yes,yes,yes,yes,2,-
yes,yes,yes,1,yes,yes,no,yes,nothing,2,yes
no,no,no,5,no,no,no,yes,nothing,1,-
no,no,yes,2,yes,yes,no,yes,yes,2,-
no,yes,no,2,no,yes,no,yes,yes,2,-
yes,yes,yes,4,no,yes,no,yes,yes,0,yes
no,yes,yes,1,yes,yes,no,yes,nothing,2,-
no,yes,yes,2,yes,yes,yes,no,yes,2,-
yes,no,no,1,yes,yes,yes,yes,yes,2,yes
no,no,yes,1,yes,yes,no,yes,yes,0,-
no,yes,no,2,yes,yes,yes,yes,yes,1,-
no,yes,no,3,yes,yes,yes,yes,yes,1,-
yes,yes,yes,1,yes,yes,yes,yes,yes,1,yes
no,yes,yes,5,no,yes,yes,yes,yes,2,-
no,no,yes,2,yes,yes,no,yes,yes,1,-
no,yes,no,1,yes,yes,no,yes,yes,2,-
no,no,no,3,yes,yes,no,yes,yes,1,-
no,no,no,3,yes,yes,yes,yes,yes,2,-
no,no,no,3,yes,yes,no,yes,no,1,-
no,yes,yes,4,yes,no,no,yes,yes,2,-
no,yes,no,4,yes,yes,yes,yes,yes,1,-
no,no,no,3,yes,yes,yes,no,yes,2,-
no,yes,yes,3,yes,yes,yes,yes,no,1,-
yes,yes,yes,3,yes,yes,yes,yes,yes,1,no
no,yes,yes,3,yes,yes,no,yes,yes,1,-
no,no,yes,1,yes,yes,no,yes,yes,1,-
yes,yes,yes,1,no,yes,no,yes,yes,2,yes
no,no,no,2,no,yes,yes,yes,yes,1,-
yes,no,yes,2,yes,yes,yes,yes,no,1,yes
yes,yes,yes,5,yes,yes,yes,yes,yes,2,yes
no,yes,no,3,yes,yes,yes,yes,yes,1,-
no,no,no,5,no,no,yes,no,nothing,2,-
yes,no,yes,1,yes,yes,no,no,nothing,0,no
yes,yes,yes,2,yes,yes,no,yes,yes,1,no
yes,no,yes,1,no,yes,yes,yes,no,1,yes
no,yes,yes,2,yes,yes,yes,yes,yes,0,-
no,yes,no,3,yes,yes,yes,yes,yes,2,-
no,no,no,5,yes,yes,yes,no,yes,2,-
yes,yes,yes,1,yes,yes,yes,yes,yes,2,no
yes,no,yes,1,yes,yes,yes,yes,yes,0,yes
no,yes,yes,1,yes,yes,yes,yes,yes,1,-
no,no,yes,4,yes,yes,no,yes,yes,1,-
yes,yes,yes,1,yes,yes,no,yes,no,1,no
yes,no,yes,5,yes,yes,yes,no,yes,2,yes
no,yes,no,5,yes,no,no,yes,nothing,2,-
no,no,no,3,yes,yes,yes,yes,no,2,-
no,no,yes,2,no,yes,no,no,yes,1,-
no,yes,yes,2,yes,yes,yes,no,yes,2,-
no,yes,yes,1,no,no,yes,yes,nothing,1,-
no,no,no,4,yes,yes,yes,no,yes,1,-
no,no,no,2,yes,yes,no,yes,yes,1,-
yes,yes,yes,3,yes,yes,yes,yes,yes,1,no
yes,yes,yes,2,yes,yes,yes,yes,yes,0,no
yes,yes,no,1,yes,yes,yes,yes,yes,1,yes
no,no,no,1,yes,yes,yes,yes,yes,2,-
yes,no,no,4,yes,yes,yes,yes,no,2,no
no,no,yes,2,yes,yes,yes,no,yes,2,-
no,no,yes,2,yes,yes,no,yes,yes,0,-
yes,yes,yes,2,no,no,no,yes,no,1,yes
no,no,no,5,no,yes,no,yes,nothing,0,-
yes,yes,yes,4,yes,yes,no,no,yes,1,yes
no,yes,yes,2,yes,no,yes,no,nothing,2,-
yes,no,yes,1,no,no,yes,yes,no,1,yes
yes,yes,yes,3,yes,no,yes,yes,no,1,yes
no,yes,yes,2,yes,yes,no,yes,yes,0,-
no,yes,yes,4,yes,yes,no,no,yes,2,-
yes,no,yes,4,yes,yes,yes,no,nothing,0,yes
no,yes,yes,4,yes,yes,no,yes,no,2,-
no,no,yes,3,yes,yes,no,yes,yes,1,-
no,yes,yes,2,yes,yes,no,yes,yes,2,-
no,yes,yes,3,yes,yes,yes,no,yes,2,-
yes,no,yes,1,yes,yes,no,yes,yes,2,no
no,yes,yes,2,yes,yes,yes,no,no,1,-
yes,no,yes,2,yes,yes,no,yes,yes,2,yes
yes,yes,yes,3,yes,yes,no,no,no,0,yes
no,no,yes,2,yes,yes,no,yes,yes,1,-
no,no,yes,1,yes,yes,no,no,yes,0,-
