חותמת זמן,האם את/ה נוטל/ת כדור לקשב וריכוז? ,האם את/ה עובד/ת במקביל ללימודים?,האם את/ה מרגיש/ה שהציונים שלך השתנו לטובה בעקבות הלמידה מרחוק?,האם חווית בעיות תקשורת באינטרנט במהלך הלמידה מרחוק שהשפיעו על הצפייה?,האם צפיתם בהקלטות במהלך הסמסטר?,האם את/ה חושב/ת שההקלטות יעילות?,האם את/ה לומדים בקבוצות?,האם יש לך אזור שקט ללמוד בו בבית?,האם יש לך תחביבים שאת/ה נוהגים לתחזק בזמן הפנוי?,האם את/ה נוהגים להיכנס לרשתות החברתיות במהלך השיעור מרחוק?
8/24/2022 14:06:11,לא,כן,כן,3,כן,כן,כן,לא,כן,במידה מועטה
8/24/2022 14:06:23,לא,לא,כן,3,כן,כן,כן,כן,כן,במידה רבה
8/24/2022 14:06:45,כן,כן,לא,1,כן,כן,לא,כן,אין תחביבים,במידה רבה
8/24/2022 14:07:17,לא,לא,לא,5 הגבוה ביותר,לא,לא,לא,כן,אין תחביבים,במידה מועטה
8/24/2022 14:09:44,לא,לא,כן,2,כן,כן,לא,כן,כן,במידה רבה
8/24/2022 14:16:48,לא,כן,לא,2,לא,כן,לא,כן,כן,במידה רבה
8/24/2022 14:17:29,כן,כן,כן,4,לא,כן,לא,כן,כן,כלל לא
8/24/2022 14:17:34,לא,כן,כן,1,כן,כן,לא,כן,אין תחביבים,במידה רבה
8/24/2022 14:19:17,לא,כן,כן,2,כן,כן,כן,לא,כן,במידה רבה
8/24/2022 14:19:50,כן,לא,לא,1,כן,כן,כן,כן,כן,במידה רבה
8/24/2022 14:20:45,לא,לא,כן,1,כן,כן,לא,כן,כן,כלל לא
8/24/2022 14:22:51,לא,כן,לא,2,כן,כן,כן,כן,כן,במידה מועטה
8/24/2022 14:24:13,לא,כן,לא,3,כן,כן,כן,כן,כן,במידה מועטה
8/24/2022 14:24:16,כן,כן,כן,1,כן,כן,כן,כן,כן,במידה מועטה
8/24/2022 14:24:39,לא,כן,כן,5 הגבוה ביותר,לא,כן,כן,כן,כן,במידה רבה
8/24/2022 14:25:11,לא,לא,כן,2,כן,כן,לא,כן,כן,במידה מועטה
8/24/2022 14:25:15,לא,כן,לא,1,כן,כן,לא,כן,כן,במידה רבה
8/24/2022 14:28:51,לא,לא,לא,3,כן,כן,לא,כן,כן,במידה מועטה
8/24/2022 14:29:23,לא,לא,לא,3,כן,כן,כן,כן,כן,במידה רבה
8/24/2022 14:31:06,לא,לא,לא,3,כן,כן,לא,כן,לא,במידה מועטה
8/24/2022 14:31:42,לא,כן,כן,4,כן,לא,לא,כן,כן,במידה רבה
8/24/2022 14:32:00,לא,כן,לא,4,כן,כן,כן,כן,כן,במידה מועטה
8/24/2022 14:34:21,לא,לא,לא,3,כן,כן,כן,לא,כן,במידה רבה
8/24/2022 14:42:26,לא,כן,כן,3,כן,כן,כן,כן,לא,במידה מועטה
8/24/2022 14:42:26,כן,כן,כן,3,כן,כן,כן,כן,כן,במידה מועטה
8/24/2022 14:43:56,לא,כן,כן,3,כן,כן,לא,כן,כן,במידה מועטה
8/24/2022 14:46:02,לא,לא,כן,1,כן,כן,לא,כן,כן,במידה מועטה
8/24/2022 14:47:26,כן,כן,לא,1,לא,כן,לא,כן,כן,במידה רבה
8/24/2022 14:50:09,לא,לא,לא,2,לא,כן,כן,כן,כן,במידה מועטה
8/24/2022 14:51:18,כן,לא,כן,2,כן,כן,כן,כן,לא,במידה מועטה
8/24/2022 14:53:09,כן,כן,כן,5 הגבוה ביותר,כן,כן,כן,כן,כן,במידה רבה
8/24/2022 14:53:50,לא,כן,לא,3,כן,כן,כן,כן,כן,במידה מועטה
8/24/2022 14:54:51,לא,לא,לא,5 הגבוה ביותר,לא,לא,כן,לא,אין תחביבים,במידה רבה
8/24/2022 14:55:32,כן,לא,כן,1,כן,כן,לא,לא,אין תחביבים,כלל לא
8/24/2022 14:56:19,כן,כן,כן,2,כן,כן,לא,כן,כן,במידה מועטה
8/24/2022 15:07:18,כן,לא,כן,1,לא,כן,כן,כן,לא,במידה מועטה
8/24/2022 15:27:56,לא,כן,כן,2,כן,כן,כן,כן,כן,כלל לא
8/24/2022 15:40:37,לא,כן,לא,3,כן,כן,כן,כן,כן,במידה רבה
8/24/2022 15:47:52,לא,לא,לא,5 הגבוה ביותר,כן,כן,כן,לא,כן,במידה רבה
8/24/2022 15:49:55,כן,כן,כן,1,כן,כן,כן,כן,כן,במידה רבה
8/24/2022 15:55:22,כן,לא,כן,1,כן,כן,כן,כן,כן,כלל לא
8/24/2022 15:56:24,לא,כן,כן,1,כן,כן,כן,כן,כן,במידה מועטה
8/24/2022 15:57:01,לא,לא,כן,4,כן,כן,לא,כן,כן,במידה מועטה
8/24/2022 16:01:54,כן,כן,כן,1,כן,כן,לא,כן,לא,במידה מועטה
8/24/2022 17:07:07,כן,לא,לא,5 הגבוה ביותר,כן,כן,כן,לא,כן,במידה רבה
8/24/2022 17:11:28,לא,כן,לא,5 הגבוה ביותר,כן,לא,לא,כן,אין תחביבים,במידה רבה
8/24/2022 17:13:00,לא,לא,לא,3,כן,כן,כן,כן,לא,במידה רבה
8/24/2022 17:22:03,לא,לא,כן,2,לא,כן,לא,לא,כן,במידה מועטה
